Code,Course,Sec,Description,Mode of,Book,HR,CR,Days,Time,Room,Professor
,,,,,,,,TH,08:10-09:25,HN  1021,
,,,,,,,,TH,09:45-11:00,HW  714,
1337,GEOL 101.00,02L,Fund Of Geol-Lec&Lab,Hybrid,,6,4.5,M,09:45-11:00,HW  714,"Handle, Kimberly"
,,,,,,,,M,11:10-12:25,HN  1021,"Rutberg, Randye"
,,,,,,,,TH,09:45-11:00,HW  714,
,,,,,,,,TH,11:10-12:25,HN  1021,
1338,GEOL 101.00,03L,Fund Of Geol-Lec&Lab,Hybrid,,6,4.5,M,09:45-11:00,HW  714,"Handle, Kimberly"
,,,,,,,,M,13:10-14:25,HN  1021,"Rutberg, Randye"
,,,,,,,,TH,09:45-11:00,HW  714,
,,,,,,,,TH,13:10-14:25,HN  1021,
1339,GEOL 101.00,04L,Fund Of Geol-Lec&Lab,Hybrid,,6,4.5,M,09:45-11:00,HW  714,"Handle, Kimberly"
,,,,,,,,M,14:45-16:00,HN  1021,"Rutberg, Randye"
,,,,,,,,TH,09:45-11:00,HW  714,
,,,,,,,,TH,14:45-16:00,HN  1021,
1340,GEOL 101.00,05L,Fund Of Geol-Lec&Lab,Hybrid,,6,4.5,M,09:45-11:00,HW  714,"Feinberg, Paul"
,,,,,,,,M,16:10-17:25,HN  1021,"Rutberg, Randye"
,,,,,,,,TH,09:45-11:00,HW  714,
,,,,,,,,TH,16:10-17:25,HN  1021,
1342,GEOL 101.00,06L,Fund Of Geol-Lec&Lab,Hybrid,,6,4.5,M,09:45-11:00,HW  714,"Kulkarni, Charuta"
,,,,,,,,TU,08:10-09:25,HN  1021,"Rutberg, Randye"
,,,,,,,,TH,09:45-11:00,HW  714,
,,,,,,,,F,08:10-09:25,HN  1021,
1343,GEOL 101.00,07L,Fund Of Geol-Lec&Lab,Hybrid,,6,4.5,M,09:45-11:00,HW  714,"Philips, Shruti"
,,,,,,,,TU,11:10-12:25,HN  1021,"Rutberg, Randye"
,,,,,,,,TH,09:45-11:00,HW  714,
,,,,,,,,F,11:10-12:25,HN  1021,
1344,GEOL 101.00,08L,Fund Of Geol-Lec&Lab,Hybrid,,6,4.5,M,09:45-11:00,HW  714,"Philips, Shruti"
,,,,,,,,TU,12:45-14:00,HN  1021,"Rutberg, Randye"
,,,,,,,,TH,09:45-11:00,HW  714,
,,,,,,,,F,12:45-14:00,HN  1021,
1345,GEOL 101.00,09L,Fund Of Geol-Lec&Lab,Hybrid,,6,4.5,M,09:45-11:00,HW  714,"Kulkarni, Charuta"
,,,,,,,,TU,14:10-15:25,HN  1021,"Rutberg, Randye"
,,,,,,,,TH,09:45-11:00,HW  714,
,,,,,,,,F,14:10-15:25,HN  1021,
1346,GEOL 101.00,10L,Fund Of Geol-Lec&Lab,Hybrid,,6,4.5,M,09:45-11:00,HW  714,"Manecan, Teodosia"
,,,,,,,,W,09:10-11:40,HN  1021,"Rutberg, Randye"
,,,,,,,,TH,09:45-11:00,HW  714,
1348,GEOL 105.00,1,Intro To Envir.Geosc,In-Person,,3,3,W,09:10-12:00,HN  1036,"Dorsch, Michael"
1351,GEOL 205.00,1,Environmental Geol,In-Person,,3,3,"TU,F",09:45-11:00,HN  1021,"Philips, Shruti"
1357,GERMN 101.00,1,Elementary German 1,In-Person,,3,3,"TU,F",09:45-11:00,HW  509B,"Wicker, Ioana"
1358,GERMN 101.00,2,Elementary German 1,In-Person,,3,3,"TU,F",11:10-12:25,HW  509B,"Kasprzyk, Agata"
1360,GERMN 102.00,1,Elementary German 2,In-Person,,3,3,"M,TH",09:45-11:00,HW  509B,"Merolle, Nina"
1361,GERMN 102.00,2,Elementary German 2,In-Person,,3,3,"TU,F",09:45-11:00,HW  611,"Kasprzyk, Agata"
1366,GERMN 202.00,1,Intermed German 2,In-Person,,3,3,"M,TH",09:45-11:00,HW  611,"Kuhnosius, Kraft"
1368,GERMN 203.00,1,Inten Intmd Grmn 1&2,In-Person,,6,6,"M,W,TH",11:10-13:00,HW  611,"Beckett, Karin"
1369,GERMN 241.00,1,German Fairy Tales,In-Person,,3,3,SA,08:10-11:00,HW  611,"Titze, Anne"
4450,GERMN 241.00,2,German Fairy Tales,In-Person,,3,3,"M,TH",09:45-11:00,HW  610,"Titze, Anne"
5570,GERMN 241.00,3,German Fairy Tales,In-Person,,3,3,"M,TH",09:45-11:00,HW  406,Staff
1370,GERMN 302.00,1,Adv German Conv&Comp,In-Person,,3,3,"M,TH",09:45-11:00,HE  109,"Zimmerman, Aine"
1387,GRK 102.00,1,Beginning Greek 2,In-Person,,4,4,TU,11:10-12:25,HW  1143,"Haft, Adele"
,,,,,,,,W,11:10-12:00,HW  1143,
,,,,,,,,F,11:10-12:25,HW  1143,
1401,HEBR 103.00,1,Elem Hebr 1&2 Intens,In-Person,,6,6,"TU,F",09:45-12:25,HW  1137,"Cohen-Raphaeli, Vered"
1402,HEBR 106.00,1,Biblical Hebrew 2,In-Person,,3,3,"TU,F",11:10-12:25,HW  1441,"Berger, Yitzhak"
1405,HEBR 211.00,1,Mstpc Medv Hbr Lit,In-Person,,3,3,"M,TH",11:10-12:25,HW  409,"Zadoff, Ethan"
1407,HEBR 220.00,1,Israeli Cinema,In-Person,,3,3,W,10:10-13:00,HW  224,"Weinroth, Orna"
1408,HEBR 240.00,1,Intro Old Testament,In-Person,,3,3,"TU,F",09:45-11:00,HW  411,"Berger, Yitzhak"
1420,HED 314.00,2,Hlth Ed Of Children,Web-Enhanced,,3,3,F,10:00-12:30,HW  707A,"Ruderman, Larry"
5468,HIST 111.00,1,World Histry To 1500,In-Person,,3,3,"M,TH",08:10-09:25,HW  404,"Tezcanli, Merve"
1423,HIST 122.00,1,19 & 20 Cent. Eur,Web-Enhanced,,3,3,"M,TH",09:45-11:00,HW  507,"Hett, Benjamin"
1424,HIST 122.00,2,19 & 20 Cent. Eur,Web-Enhanced,,3,3,"TU,F",11:10-12:25,HW  508,"Vushko, Iryna"
1426,HIST 151.00,1,Col Era - Civ War,Web-Enhanced,,3,3,M,11:10-12:00,HW  615,"Mccauley, Bernadette"
,,,,,,,,M,12:10-13:00,HE  921,"Woltering, Ky"
,,,,,,,,TH,11:10-12:00,HW  615,
1427,HIST 151.00,2,Col Era - Civ War,Web-Enhanced,,3,3,M,11:10-12:00,HW  615,"Slonimsky, Nora"
,,,,,,,,M,12:10-13:00,HE  922,"Mccauley, Bernadette"
,,,,,,,,TH,11:10-12:00,HW  615,
1428,HIST 151.00,3,Col Era - Civ War,Web-Enhanced,,3,3,M,11:10-12:00,HW  615,"Mccauley, Bernadette"
,,,,,,,,M,12:10-13:00,HW  1543,"Crowder, Michael"
,,,,,,,,TH,11:10-12:00,HW  615,
1429,HIST 151.00,4,Col Era - Civ War,Web-Enhanced,,3,3,M,11:10-12:00,HW  615,"Slonimsky, Nora"
,,,,,,,,TH,12:10-13:00,TH  520,"Mccauley, Bernadette"
,,,,,,,,TH,11:10-12:00,HW  615,
1430,HIST 151.00,5,Col Era - Civ War,Web-Enhanced,,3,3,M,11:10-12:00,HW  615,"Mccauley, Bernadette"
,,,,,,,,TH,12:10-13:00,HE  921,"Crowder, Michael"
,,,,,,,,TH,11:10-12:00,HW  615,
1431,HIST 151.00,6,Col Era - Civ War,Web-Enhanced,,3,3,M,11:10-12:00,HW  615,"Mccauley, Bernadette"
,,,,,,,,M,13:10-14:00,HW  1543,"Woltering, Ky"
,,,,,,,,TH,11:10-12:00,HW  615,
1432,HIST 151.00,7,Col Era - Civ War,Web-Enhanced,,3,3,M,11:10-12:00,HW  615,"Slonimsky, Nora"
,,,,,,,,TH,11:10-12:00,HW  615,"Mccauley, Bernadette"
,,,,,,,,TH,10:10-11:00,HN  C103,
1433,HIST 151.00,8,Col Era - Civ War,Web-Enhanced,,3,3,M,11:10-12:00,HW  615,"Mccauley, Bernadette"
,,,,,,,,TH,11:10-12:00,HW  615,"Crowder, Michael"
,,,,,,,,TH,10:10-11:00,HN  C112,
1434,HIST 151.00,9,Col Era - Civ War,Web-Enhanced,,3,3,M,11:10-12:00,HW  615,"Mccauley, Bernadette"
,,,,,,,,TH,12:10-13:00,HE  922,"Woltering, Ky"
,,,,,,,,TH,11:10-12:00,HW  615,
1435,HIST 151.00,10,Col Era - Civ War,Web-Enhanced,,3,3,"TU,W,F",09:10-10:00,HW  507,"Hellwege, Benjamin"
1436,HIST 151.00,11,Col Era - Civ War,Web-Enhanced,,3,3,"M,TH",09:45-11:00,HW  508,"Asher, Florence"
1437,HIST 151.00,12,Col Era - Civ War,Web-Enhanced,,3,3,"TU,W,F",10:10-11:00,HW  507,"Hellwege, Benjamin"
1438,HIST 151.00,13,Col Era - Civ War,Web-Enhanced,,3,3,"M,W,TH",11:10-12:00,HW  507,"Burrows, Vanessa"
1439,HIST 151.00,14,Col Era - Civ War,Web-Enhanced,,3,3,"TU,F",11:10-12:25,HN  C111,"Blanton, John"
1445,HIST 151.00,20,Col Era - Civ War,Web-Enhanced,,3,3,SA,09:00-11:30,HW  507,"Sarf, Wayne"
1446,HIST 151.00,21,Col Era - Civ War,Web-Enhanced,,3,3,"M,TH",07:10-08:25,HW  508,"Sclar, Arieh"
1447,HIST 151.00,22,Col Era - Civ War,Web-Enhanced,,3,3,"TU,F",08:10-09:25,HW  207,"Garedakis, Megan"
5283,HIST 151.00,23,Col Era - Civ War,Web-Enhanced,,3,3,"TU,F",07:10-08:25,HW  507,"Sclar, Arieh"
1453,HIST 152.00,1,U.S. Civ War-Pres,Web-Enhanced,,3,3,TU,11:10-12:00,HW  615,"Haverty-Stacke, Donna"
,,,,,,,,TU,12:45-13:35,TH  505,"Battle, Andrew"
,,,,,,,,F,11:10-12:00,HW  615,
1454,HIST 152.00,2,U.S. Civ War-Pres,Web-Enhanced,,3,3,TU,11:10-12:00,HW  615,"Haverty-Stacke, Donna"
,,,,,,,,TU,14:10-15:00,HN  C113,"Feingold, Joel"
,,,,,,,,F,11:10-12:00,HW  615,
1455,HIST 152.00,3,U.S. Civ War-Pres,Web-Enhanced,,3,3,TU,11:10-12:00,HW  615,"Haverty-Stacke, Donna"
,,,,,,,,F,10:10-11:00,HN  C103,"Olson, Glen"
,,,,,,,,F,11:10-12:00,HW  615,
1456,HIST 152.00,4,U.S. Civ War-Pres,Web-Enhanced,,3,3,TU,11:10-12:00,HW  615,"Haverty-Stacke, Donna"
,,,,,,,,F,10:10-11:00,HN  C114,"Battle, Andrew"
,,,,,,,,F,11:10-12:00,HW  615,
1457,HIST 152.00,5,U.S. Civ War-Pres,Web-Enhanced,,3,3,TU,11:10-12:00,HW  615,"Haverty-Stacke, Donna"
,,,,,,,,F,11:10-12:00,HW  615,"Battle, Andrew"
,,,,,,,,F,12:45-13:35,TH  505,
1458,HIST 152.00,6,U.S. Civ War-Pres,Web-Enhanced,,3,3,TU,11:10-12:00,HW  615,"Haverty-Stacke, Donna"
,,,,,,,,F,11:10-12:00,HW  615,"Feingold, Joel"
,,,,,,,,F,12:45-13:35,HN  C112,
1459,HIST 152.00,7,U.S. Civ War-Pres,Web-Enhanced,,3,3,"TU,W,F",09:10-10:00,HW  508,"Goldberg, Barry"
1460,HIST 152.00,8,U.S. Civ War-Pres,Web-Enhanced,,3,3,"M,TH",09:45-11:00,HN  C004,"Ali, Zaheer"
1461,HIST 152.00,9,U.S. Civ War-Pres,Web-Enhanced,,3,3,"TU,F",09:45-11:00,HW  217,"Griffin, Sean"
1462,HIST 152.00,10,U.S. Civ War-Pres,Web-Enhanced,,3,3,"TU,W,F",10:10-11:00,HW  508,"Goldberg, Barry"
1463,HIST 152.00,11,U.S. Civ War-Pres,Web-Enhanced,,3,3,"M,TH",11:10-12:25,HW  413,"Rocklin, Mitchell"
1464,HIST 152.00,12,U.S. Civ War-Pres,Web-Enhanced,,3,3,"TU,F",11:10-12:25,HN  C113,"Griffin, Sean"
1470,HIST 152.00,18,U.S. Civ War-Pres,Web-Enhanced,,3,3,SA,12:00-14:30,HW  507,"Sarf, Wayne"
1472,HIST 152.00,20,U.S. Civ War-Pres,Web-Enhanced,,3,3,"TU,F",07:10-08:25,HW  508,"Isaacson, Mariel"
1473,HIST 152.00,21,U.S. Civ War-Pres,Web-Enhanced,,3,3,"M,TH",08:10-09:25,HW  507,"Sarf, Wayne"
5284,HIST 152.00,22,U.S. Civ War-Pres,Web-Enhanced,,3,3,"M,TH",07:10-08:25,HW  610,"Isaacson, Mariel"
1450,HIST 152.00,HZ081,U.S. Civ War-Pres,Web-Enhanced,,3,3,TU,11:10-12:00,HW  615,"Haverty-Stacke, Donna"
,,,,,,,,TU,12:45-13:35,HN  C114,"Feingold, Joel"
,,,,,,,,F,11:10-12:00,HW  615,
1451,HIST 152.00,HZ084,U.S. Civ War-Pres,Web-Enhanced,,3,3,TU,11:10-12:00,HW  615,"Haverty-Stacke, Donna"
,,,,,,,,F,11:10-12:00,HW  615,"Olson, Glen"
,,,,,,,,F,12:45-13:35,HE  109,
1452,HIST 152.00,HZ086,U.S. Civ War-Pres,Web-Enhanced,,3,3,TU,11:10-12:00,HW  615,"Haverty-Stacke, Donna"
,,,,,,,,TU,12:45-13:35,HE  109,"Olson, Glen"
,,,,,,,,F,11:10-12:00,HW  615,
5048,HIST 276.51,1,Mid East 1500-Pres,Web-Enhanced,,3,3,W,10:10-13:00,HW  415,"Kern, Karen"
1480,HIST 290.00,1,History Practicum,Web-Enhanced,,3,3,W,10:10-13:00,HW  1543,"Memegalos, Florene"
5049,HIST 290.00,2,History Practicum,Web-Enhanced,,3,3,SA,08:10-11:00,HW  508,"Welter, Barbara"
1497,HIST 319.00,1,Md&Erly Md Jew His,Web-Enhanced,,3,3,"M,TH",09:45-11:00,HW  504,"Mirvis, Stanley"
5054,HIST 341.08,1,Us Col Hist To 1763,Web-Enhanced,,3,3,"M,TH",11:10-12:25,HW  508,"Angelis, Angelo"
5050,HIST 341.19,1,Ancient Jewish Hist,Web-Enhanced,,3,3,"TU,F",11:10-12:25,HW  507,"Seltzer, Robert"
5074,HIST 341.1C,1,20 C Us Gndr&Sexulty,Web-Enhanced,,3,3,"M,TH",11:10-12:25,HN  C112,"Hurewitz, Daniel"
5429,HIST 341.1C,2,20 C Us Gndr&Sexulty,Web-Enhanced,,3,3,"M,TH",11:10-12:25,HN  C112,"Hurewitz, Daniel"
5294,*HIST 341.1D,1,Afr Amer Exp To 1865,Web-Enhanced,,3,3,W,10:10-13:00,HW  610,"Chambers, Mark"
1505,HIST 367.00,1,Civil War & Recon,Web-Enhanced,,3,3,"M,TH",11:10-12:25,HW  609,"Cohen, Ira"
5059,HIST 382.17,1,Jerusalem In 20th C,Web-Enhanced,,3,3,W,10:10-13:00,HE  922,"Schor, Laura"
5061,HIST 382.17,HC1,Jerusalem In 20th C,Web-Enhanced,,3,3,W,10:10-13:00,HE  922,"Schor, Laura"
5060,HIST 382.17,SCH1,Jerusalem In 20th C,Web-Enhanced,,3,3,W,10:10-13:00,HE  922,"Schor, Laura"
4848,HONS 201.1D,1,Chin Food Cultures,In-Person,,3,3,"M,TH",11:10-12:25,HW  412,"Belsky, Richard"
4812,HR 200.00,2,Intro Human Rights,Web-Enhanced,,3,3,"M,TH",11:10-12:25,RH  3.04,"Chuman, Joseph"
5482,HR 200.00,3,Intro Human Rights,Web-Enhanced,,3,3,W,10:10-13:00,RH  3.04,Staff
1542,*HR 260.00,1,Hum.Rights Int Sem,In-Person,,3,3,W,10:10-13:00,RH  TBA,Staff
1543,HR 345.00,1,Human Rights & Dev,Web-Enhanced,,3,3,"M,TH",09:45-11:00,RH  3.04,"Peligal, Rona"
4813,HR 350.00,1,Hum.Rights Capst S,Web-Enhanced,,3,3,W,10:10-13:00,RH  2.01,"Wallach, John"
5412,HUM 126.00,MZ1,Muse First Year Sem,In-Person,,1,1,W,10:00-11:45,HW  404,"Meyers-Kingsley, Dara"
5431,HUM 180.00,1,Distnghd Lvng Wtrs,In-Person,,3,3,"M,TH",09:45-11:00,TH  505,"Connor, Rebecca"
1554,ITAL 101.00,1,Elementary Italian 1,Web-Enhanced,,3,3,"M,TH",09:45-11:00,HW  509C,"Paynter, Maria"
1555,ITAL 101.00,2,Elementary Italian 1,Web-Enhanced,,3,3,"TU,W,F",10:10-11:00,HW  522,"Muzzi, Ilaria"
1556,ITAL 101.00,3,Elementary Italian 1,Web-Enhanced,,3,3,"TU,F",11:10-12:25,HW  522,"Maier-Kapoor, Cecilia"
1557,ITAL 101.00,4,Elementary Italian 1,Web-Enhanced,,3,3,SA,09:10-12:00,HW  522,"Marchi, Luca"
1561,ITAL 102.00,1,Elementary Italian 2,Web-Enhanced,,3,3,"M,TH",08:10-09:25,HW  707B,"Scala, Carmela"
1562,ITAL 102.00,2,Elementary Italian 2,Web-Enhanced,,3,3,"TU,F",11:10-12:25,TH  505,"Muzzi, Ilaria"
1566,ITAL 201.00,1,Intermed Italian 1,Web-Enhanced,,3,3,"M,TH",09:45-11:00,HW  707C,"Sarti, Lisa"
1570,ITAL 202.00,1,Intermediate Ital 2,Web-Enhanced,,3,3,"TU,W,F",10:10-11:00,HW  1344,Staff
1571,ITAL 202.00,2,Intermediate Ital 2,Web-Enhanced,,3,3,"M,TH",08:10-09:25,HW  509C,Staff
1576,ITAL 331.00,1,Ital Phonetics&Dictn,Web-Enhanced,,3,3,SA,09:10-12:00,HW  1327,Staff
1578,ITAL 342.00,1,Ital Lt 16c-Presnt,Web-Enhanced,,3,3,"M,TH",11:10-12:25,HW  1327,Staff
1590,JPN 102.00,1,Beginning Japanese 2,In-Person,,3,3,"TU,F",11:10-12:25,HW  623,"Kawashima, Sue"
1591,JPN 102.00,2,Beginning Japanese 2,In-Person,,3,3,"TU,W,F",10:10-11:00,HW  408,"Kawashima, Sue"
1592,JPN 102.00,3,Beginning Japanese 2,In-Person,,3,3,"TU,W,F",09:10-10:00,HW  623,"Barkan, Maayan"
1596,JPN 202.00,3,Intermed Japanese 2,In-Person,,3,3,"TU,W,F",10:10-11:00,HW  623,"Barkan, Maayan"
5186,JPN 202.00,4,Intermed Japanese 2,In-Person,,3,3,"M,TH",08:10-09:25,HW  409,"Furukawa, Akiyo"
5187,JPN 261.10,1,Japanese Cinema,In-Person,,3,3,SA,10:10-13:00,HW  207,"Donahue, Masao"
4482,LACS 434.25,1,P R Hist Since 1898,In-Person,,3,3,"TU,F",11:10-12:25,HW  215,"Melendez, Edgardo"
1631,LACS 434.59,1,Hist Of The Dom Rep.,In-Person,,3,3,"M,TH",09:45-11:00,HW  215,"Alvarez, Luis"
5100,LACS 434.77,1,Intrnatnl Migration,Web-Enhanced,,3,3,"M,TH",11:10-12:25,HN  710,"Gil, Rocio"
1636,LACS 434.89,1,Carib.Wmn Writers,Hybrid,,3,3,"TU,F",11:10-12:25,HW  1734,"Gregg, Veronica"
1639,LAT 102.00,1,Beginning Latin 2,In-Person,,4,4,M,11:10-12:25,HW  1441,"Karas, Allannah"
,,,,,,,,W,11:10-12:00,HW  1441,
,,,,,,,,TH,11:10-12:25,HW  1441,
1641,LAT 107.00,1,Beg Lat Intensive,In-Person,,6,6,"TU,W,F",08:10-10:00,HW  1441,"Theodoracopoulos, Elias"
1647,LIBR 100.00,1,Information Research,Web-Enhanced,,1,1,M,11:10-12:00,HN 1001G,"Williams, Claibourne"
4581,LIBR 100.00,4,Information Research,Web-Enhanced,,1,1,W,11:10-12:00,HN 1001G,"Becker, Danielle"
4584,LIBR 100.00,7,Information Research,Web-Enhanced,,1,1,SA,10:00-12:35,HN 1001G,"Woodard, Patricia"
1653,MATH 100.00,2,Basic Struct Of Math,Web-Enhanced,,3,3,"TU,F",09:45-11:00,HW  116,"Ferlengez, Bora"
1659,MATH 100.00,83,Basic Struct Of Math,Web-Enhanced,,3,3,"TU,F",09:45-11:00,HW  116,"Ferlengez, Bora"
1660,MATH 101.00,1,Algbra Colleg Studen,Web-Enhanced,,4,3,"M,TH",07:10-09:00,HW  604,Staff
1661,MATH 101.00,2,Algbra Colleg Studen,Web-Enhanced,,4,3,"M,TH",09:10-11:00,HW  604,"Roos, Susan"
1662,MATH 101.00,3,Algbra Colleg Studen,Web-Enhanced,,4,3,"M,TH",11:10-13:00,HW  604,"Roos, Susan"
1665,MATH 101.00,6,Algbra Colleg Studen,Web-Enhanced,,4,3,"TU,F",07:10-09:00,HW  604,Staff
1666,MATH 101.00,7,Algbra Colleg Studen,Web-Enhanced,,4,3,"TU,F",09:10-11:00,HW  604,"Bennie, Alannah"
1667,MATH 101.00,8,Algbra Colleg Studen,Web-Enhanced,,4,3,"TU,F",11:10-13:00,HW  604,"Burke, Patrick"
5112,MATH 101.00,11,Algbra Colleg Studen,Web-Enhanced,,4,3,"M,TH",09:10-11:00,HW  214,"Weiss, Rodney"
1672,MATH 101.00,81,Algbra Colleg Studen,Web-Enhanced,,4,3,"M,TH",11:10-13:00,HW  604,"Roos, Susan"
1673,MATH 101.00,82,Algbra Colleg Studen,Web-Enhanced,,4,3,"TU,F",09:10-11:00,HW  604,"Bennie, Alannah"
5560,MATH 101.00,MH1,Algbra Colleg Studen,Web-Enhanced,,4,3,"M,TH",09:10-11:00,HW  214,"Weiss, Rodney"
1675,MATH 102.00,1,Math Everyday Life,Web-Enhanced,,3,3,"M,TH",08:10-09:25,HW  406,"Ma, Fung"
1678,MATH 102.00,4,Math Everyday Life,Web-Enhanced,,3,3,"TU,F",09:45-11:00,HW  609,"Erlandsson, Viveka"
1679,MATH 102.00,5,Math Everyday Life,Web-Enhanced,,3,3,"TU,F",11:10-12:25,HN  C004,"Erlandsson, Viveka"
1680,MATH 102.00,6,Math Everyday Life,Web-Enhanced,,3,3,"TU,F",11:10-12:25,HW  208,"Chen, Yimao"
1682,MATH 102.00,82,Math Everyday Life,Web-Enhanced,,3,3,"TU,F",09:45-11:00,HW  609,"Erlandsson, Viveka"
1684,*MATH 104.00,1,Math For Elem Educ I,Web-Enhanced,,3,3,"M,TH",08:10-09:25,HN  306,"Barone, Barbara"
4421,MATH 105.00,1,Math For Elem Ed (II),Web-Enhanced,,3,3,"M,TH",09:45-11:00,HN  306,"Clarkson, Sandra"
1687,MATH 125.00,1,Precalculus,Web-Enhanced,,4,4,"M,TH",07:10-09:00,HW  204,"Demiralp, Fadime"
1688,MATH 125.00,2,Precalculus,Web-Enhanced,,4,4,"M,TH",09:10-11:00,HW  204,"Bennie, Alannah"
1689,MATH 125.00,3,Precalculus,Web-Enhanced,,4,4,"M,TH",09:10-11:00,HW  224,"Choy, Munkuen"
1690,MATH 125.00,4,Precalculus,Web-Enhanced,,4,4,"M,TH",11:10-13:00,HW  415,"Samra, Michael"
1691,MATH 125.00,5,Precalculus,Web-Enhanced,,4,4,"M,TH",11:10-13:00,HW  204,"Chen, Anbo"
1695,MATH 125.00,9,Precalculus,Web-Enhanced,,4,4,"TU,F",09:10-11:00,HW  204,"Saravia, Bernardo"
4423,MATH 125.00,10,Precalculus,Web-Enhanced,,4,4,"TU,F",11:10-13:00,HW  204,"Komatsubara, Hiro"
5115,MATH 125.00,12,Precalculus,Web-Enhanced,,4,4,"TU,F",07:10-09:00,HW  214,"Saravia, Bernardo"
5559,MATH 125.00,13,Precalculus,Web-Enhanced,,4,4,"TU,F",11:10-13:00,HN  C109,"Khodorovskiy, Tatyana"
4983,MATH 125.00,83,Precalculus,Web-Enhanced,,4,4,"M,TH",11:10-13:00,HW  204,"Chen, Anbo"
5563,MATH 125.00,MH1,Precalculus,Web-Enhanced,,4,4,"M,TH",07:10-09:00,HW  204,"Demiralp, Fadime"
5564,MATH 125.00,MH2,Precalculus,Web-Enhanced,,4,4,"TU,F",07:10-09:00,HW  214,"Saravia, Bernardo"
1702,MATH 150.00,1,Calc With Anal Geom1,Web-Enhanced,,4,4,"M,TH",07:10-09:00,HW  214,"Mussa, Derege"
1703,MATH 150.00,2,Calc With Anal Geom1,Web-Enhanced,,4,4,"M,TH",09:10-11:00,HW  424,"Mussa, Derege"
1704,MATH 150.00,3,Calc With Anal Geom1,Web-Enhanced,,4,4,"M,TH",09:10-11:00,HN  C109,"Zummo, Victoria"
1705,MATH 150.00,4,Calc With Anal Geom1,Web-Enhanced,,4,4,"M,TH",11:10-13:00,HN  C109,"Slavov, Stoyan"
1706,MATH 150.00,5,Calc With Anal Geom1,Web-Enhanced,,4,4,"M,TH",11:10-13:00,HN  C114,"Choy, Munkuen"
1709,MATH 150.00,8,Calc With Anal Geom1,Web-Enhanced,,4,4,"TU,F",09:10-11:00,HN  C109,"Chen, Yimao"
1710,MATH 150.00,9,Calc With Anal Geom1,Web-Enhanced,,4,4,"TU,F",09:10-11:00,HW  224,"Komatsubara, Hiro"
1711,MATH 150.00,10,Calc With Anal Geom1,Web-Enhanced,,4,4,"TU,F",11:10-13:00,HW  415,"Roitberg, Joseph"
5157,MATH 150.00,13,Calc With Anal Geom1,Web-Enhanced,,4,4,"TU,F",08:10-10:00,HW  615,"Khodorovskiy, Tatyana"
1714,MATH 150.00,81,Calc With Anal Geom1,Web-Enhanced,,4,4,"M,TH",11:10-13:00,HN  C109,"Slavov, Stoyan"
1715,MATH 150.00,HC1,Calc With Anal Geom1,Web-Enhanced,,4,4,"M,TH",11:10-13:00,HN  C113,"Winokur, Bruce"
5565,MATH 150.00,MH1,Calc With Anal Geom1,Web-Enhanced,,4,4,"TU,F",08:10-10:00,HW  615,"Khodorovskiy, Tatyana"
1717,MATH 155.00,1,Calc With Anal Geom2,Web-Enhanced,,4,4,"M,TH",07:10-09:00,HW  424,"Yen, Ni"
1718,MATH 155.00,2,Calc With Anal Geom2,Web-Enhanced,,4,4,"M,TH",09:10-11:00,HW  415,"Cherkas, Barry"
1719,MATH 155.00,3,Calc With Anal Geom2,Web-Enhanced,,4,4,"TU,F",09:10-11:00,HW  511,"Shneerson, Lev"
5566,MATH 155.00,MH1,Calc With Anal Geom2,Web-Enhanced,,4,4,"TU,F",09:10-11:00,HW  511,"Shneerson, Lev"
1723,MATH 156.00,1,Intr Math Proof Wrks,Web-Enhanced,,2,1,W,10:10-12:00,HW  204,"Carmody, Erin"
1728,MATH 250.00,1,Calc With Anal Geom3,Web-Enhanced,,4,4,"TU,F",11:10-13:00,HW  706,"Jambois, Thomas"
1730,MATH 254.00,1,Ordin Diff Equations,Web-Enhanced,,3,3,"TU,F",09:45-11:00,HW  208,"Chen, Anbo"
1732,MATH 260.00,1,Linear Algebra,Web-Enhanced,,4,4,"TU,F",09:10-11:00,HW  214,"Cha, Kwang"
1735,MATH 311.00,1,Abstract Algebra 1,Web-Enhanced,,3,3,"M,TH",11:10-12:25,TH  518,"Baider, Alberto"
1746,MEDIA 180.00,1,Int To Media Studies,In-Person,,3,3,M,09:10-10:00,HN  504,"Ewen, Stuart"
,,,,,,,,M,12:10-13:00,HW  615,"Saucedogonzalez, Melissa"
,,,,,,,,W,12:10-13:00,HW  615,
1747,MEDIA 180.00,2,Int To Media Studies,In-Person,,3,3,M,10:10-11:00,HN  504,"Ewen, Stuart"
,,,,,,,,M,12:10-13:00,HW  615,"Saucedogonzalez, Melissa"
,,,,,,,,W,12:10-13:00,HW  615,
1748,MEDIA 180.00,3,Int To Media Studies,In-Person,,3,3,M,12:10-13:00,HW  615,"Ewen, Stuart"
,,,,,,,,W,12:10-13:00,HW  615,"Spivey, Kelly"
,,,,,,,,W,10:10-11:00,HW  207,
1749,MEDIA 180.00,4,Int To Media Studies,In-Person,,3,3,M,12:10-13:00,HW  615,"Ewen, Stuart"
,,,,,,,,W,12:10-13:00,HW  615,"Spivey, Kelly"
,,,,,,,,W,09:10-10:00,HW  207,
1750,MEDIA 180.00,5,Int To Media Studies,In-Person,,3,3,M,12:10-13:00,HW  615,"Ewen, Stuart"
,,,,,,,,W,12:10-13:00,HW  615,"Rabins, Stephanie"
